,epsilon,sigma,a,lambda,Efcc,Vfcc,Edia,Vdia
0,0.5,0.5,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
1,0.5,0.5,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
2,0.5,0.5,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
3,0.5,0.5,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
4,0.5,0.5,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
5,0.5,0.5,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
6,0.5,0.5,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
7,0.5,0.5,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
8,0.5,0.5,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
9,0.5,1.75,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
10,0.5,1.75,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
11,0.5,1.75,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
12,0.5,1.75,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
13,0.5,1.75,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
14,0.5,1.75,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
15,0.5,1.75,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
16,0.5,1.75,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
17,0.5,1.75,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
18,0.5,3.0,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
19,0.5,3.0,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
20,0.5,3.0,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
21,0.5,3.0,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
22,0.5,3.0,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
23,0.5,3.0,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
24,0.5,3.0,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
25,0.5,3.0,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
26,0.5,3.0,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
27,1.25,0.5,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
28,1.25,0.5,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
29,1.25,0.5,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
30,1.25,0.5,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
31,1.25,0.5,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
32,1.25,0.5,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
33,1.25,0.5,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
34,1.25,0.5,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
35,1.25,0.5,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
36,1.25,1.75,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
37,1.25,1.75,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
38,1.25,1.75,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
39,1.25,1.75,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
40,1.25,1.75,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
41,1.25,1.75,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
42,1.25,1.75,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
43,1.25,1.75,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
44,1.25,1.75,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
45,1.25,3.0,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
46,1.25,3.0,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
47,1.25,3.0,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
48,1.25,3.0,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
49,1.25,3.0,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
50,1.25,3.0,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
51,1.25,3.0,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
52,1.25,3.0,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
53,1.25,3.0,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
54,2.0,0.5,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
55,2.0,0.5,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
56,2.0,0.5,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
57,2.0,0.5,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
58,2.0,0.5,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
59,2.0,0.5,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
60,2.0,0.5,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
61,2.0,0.5,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
62,2.0,0.5,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
63,2.0,1.75,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
64,2.0,1.75,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
65,2.0,1.75,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
66,2.0,1.75,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
67,2.0,1.75,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
68,2.0,1.75,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
69,2.0,1.75,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
70,2.0,1.75,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
71,2.0,1.75,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
72,2.0,3.0,1.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
73,2.0,3.0,1.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
74,2.0,3.0,1.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
75,2.0,3.0,3.5,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
76,2.0,3.0,3.5,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
77,2.0,3.0,3.5,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
78,2.0,3.0,6.0,0.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
79,2.0,3.0,6.0,16.5,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
80,2.0,3.0,6.0,33.0,-317.6874749861922,20.800784812499998,-608.2920168897369,10.400392406249999
